County,2009Dropout,2009  - High school graduate (includes equivalency),2009 - Some college or associate's degree,2009 - Bachelor's degree or higher,2010Dropout,2010  - High school graduate (includes equivalency),2010 - Some college or associate's degree,2010 - Bachelor's degree or higher,2011Dropout,2011  - High school graduate (includes equivalency),2011 - Some college or associate's degree,2011 - Bachelor's degree or higher,2012Dropout,2012  - High school graduate (includes equivalency),2012 - Some college or associate's degree,2012 - Bachelor's degree or higher,2013Dropout,2013  - High school graduate (includes equivalency),2013 - Some college or associate's degree,2013 - Bachelor's degree or higher,2014Dropout,2014  - High school graduate (includes equivalency),2014 - Some college or associate's degree,2014 - Bachelor's degree or higher,2015Dropout,2015  - High school graduate (includes equivalency),2015 - Some college or associate's degree,2015 - Bachelor's degree or higher,2016Dropout,2016  - High school graduate (includes equivalency),2016 - Some college or associate's degree,2016 - Bachelor's degree or higher,2017Dropout,2017  - High school graduate (includes equivalency),2017 - Some college or associate's degree,2017 - Bachelor's degree or higher
St. Johns,16.5,9.7,7,4.7,16.8,10.6,7.6,4.5,18.8,11.5,8.1,4.7,20.5,12.3,8.7,4.9,21.8,13.1,8.9,5.1,21.3,12.6,8.8,5.1,19.3,11.9,8.2,5,18.1,12,8.3,5.2,17.6,12,7.8,4.8
Suwannee,24.3,12.6,11.1,5.7,22.2,11.7,10.8,5.1,27.9,13.2,11.1,4.1,31.3,14.1,11.8,5.4,34.3,15,13.7,4.8,35.8,16.8,12.9,3.2,37.9,17.1,12.8,2.9,34.3,17.9,13.3,2.5,29.7,17.4,12.4,1.5
Taylor,31.1,18.5,11.6,6.7,27.1,13.9,10.6,6.6,19.1,16.9,12.6,4.5,25.3,20.1,12,2.2,26.1,18.1,10.7,4.2,25.1,14.1,10.1,4.7,29.2,14.3,9.6,8.1,34.4,13.8,10.2,8.3,26.1,15.2,9.9,6.8
Union,36,12.4,4.7,4.1,34.2,10.9,8.8,3.6,42.2,11,7,3.6,38.5,12.6,7.5,3.8,33.5,14.4,7.2,5.8,31.5,12.7,10.4,3.2,38.3,14.9,10.3,4.1,35,14,13.9,10.1,33.2,13.7,14.7,7
Volusia,21.8,11.7,8.6,5.2,21.9,11.9,9.2,5.8,24.8,11.9,10.1,6.2,24.6,13.2,11.3,6.2,24.2,14.5,12,6.5,25.5,15.5,12.8,6.7,25.4,15.8,12.7,6.1,24,15.8,12.5,6.5,23.9,15.3,12.2,6.3
Brevard,19.3,9.6,6.9,3.9,20.5,10.6,7.7,3.7,22.1,11.2,8.1,4,23.2,12.6,9,4.3,24.9,13.4,9.9,4.5,25.4,14.1,10.6,4.9,24.4,13.9,10.5,5,22.8,14.6,10.6,5.1,23.2,14.2,10.2,5.2
Citrus,19,13.2,8.6,4.6,20.1,13.1,10.1,4.7,22.4,13.8,11.1,4.8,23.9,14.2,11.8,5.1,24.9,13.6,13.6,4.4,26.3,14.3,13.8,5.6,23.7,15.3,13.3,6,26.4,16.6,12.9,5.8,25.6,16.5,12.4,5
Hardee,33.6,8.2,9.1,6,38,11,12.4,2.4,38,15,12.2,2.3,37.6,20.2,12.7,1.2,37.5,19.9,15.5,6.4,32.3,24.3,18.8,7.5,30.1,22.1,14.7,6.3,29.3,20.8,13.4,9.1,27.6,17.6,13.5,7.1
Hernando,14.9,9,8.5,4.4,17.8,9.9,8.9,4.1,19.9,11,9.1,4.8,21.9,12.3,10.6,5.5,20.9,13.3,10.7,5.6,22.7,14.1,11,6.7,21.7,13.9,11.5,5.7,23.9,14.3,11.3,6.5,24.4,14,10.1,6.2
Highlands,26.2,11.5,10.2,6.2,26.7,11.5,10.2,7.7,30.9,12.6,10.7,7.5,31,14.5,11.8,7.4,33.2,14.2,12.9,7.6,32,14.2,11.4,6.9,32.1,14.8,12.9,6.4,30,14.5,13.7,6.8,29.7,14.2,13.2,7.1
